Index;Number of Local Search Tries;Orginal Weight;Weight;Edges;
61;3;256;252;10,9;10,2;2,1;9,8;8,3;10,6;3,5;9,7;4,5;
62;8;162;161;7,3;4,2;4,1;3,10;1,9;1,5;3,6;10,8;4,6;
63;2;190;185;9,6;5,7;9,1;1,10;5,4;1,8;6,2;10,3;9,4;
64;9;193;192;4,7;7,2;7,6;3,10;2,8;4,5;4,9;4,1;3,5;
65;1;216;181;2,8;2,3;3,9;3,5;2,1;5,4;10,6;8,7;10,1;
66;2;183;146;1,4;1,10;10,3;1,8;9,2;4,6;2,5;9,7;9,1;
67;2;185;182;3,8;8,2;2,9;3,4;4,6;3,10;3,7;10,1;5,6;
68;1;255;253;10,7;10,9;10,6;7,3;9,8;10,1;2,4;6,5;2,5;
69;1;232;229;6,5;6,8;6,2;2,1;5,9;8,10;9,4;3,7;3,5;
70;1;254;238;10,9;9,8;8,3;3,7;10,1;8,2;8,4;7,6;5,3;
71;1;168;163;9,1;1,8;9,10;1,3;10,2;8,5;2,7;2,4;6,4;
72;2;240;238;4,10;10,3;3,8;8,6;4,5;8,7;6,2;7,1;9,7;
73;1;221;215;9,4;9,10;4,5;5,7;4,8;7,2;3,6;5,1;3,4;
74;6;173;169;1,6;1,3;3,10;3,8;1,9;6,5;3,2;9,7;4,6;
75;2;184;168;1,7;6,2;2,5;1,4;4,8;7,3;3,9;7,10;6,3;
76;1;260;256;10,8;10,5;8,3;8,2;5,9;10,6;6,4;6,1;7,6;
77;1;233;212;10,9;10,6;8,2;6,1;9,3;1,5;3,4;9,7;8,3;
78;1;171;153;6,1;6,4;1,8;1,2;6,3;8,5;3,9;3,7;10,2;
79;2;181;171;1,7;1,2;2,10;2,5;1,4;7,8;8,9;9,3;6,4;
80;2;189;183;4,3;3,8;3,10;4,6;8,1;2,7;7,5;4,9;2,4;
81;2;206;204;3,4;4,10;4,5;4,1;1,2;1,8;10,6;8,7;9,7;
82;5;202;194;7,5;5,1;5,4;7,6;5,2;6,10;4,8;1,9;3,2;
83;2;194;160;4,8;8,2;2,9;7,10;2,6;6,1;2,3;4,5;7,1;
84;1;139;128;1,7;1,4;4,5;1,3;4,10;5,2;3,6;1,9;8,3;
85;2;222;210;3,4;4,5;5,7;8,2;3,1;4,10;8,6;7,9;3,2;
86;2;203;196;8,1;1,9;9,5;8,2;9,7;4,6;9,3;3,10;4,3;
87;3;257;251;8,10;8,7;7,6;8,4;7,3;8,9;4,5;5,2;1,3;
88;2;227;197;3,9;9,7;9,4;3,2;3,6;4,1;4,8;6,10;5,1;
89;1;144;143;6,4;4,1;1,8;4,9;1,3;3,10;3,7;3,5;2,5;
90;1;256;253;4,10;10,9;9,5;5,2;4,7;8,6;9,3;6,1;8,7;
91;2;221;206;3,5;5,6;5,9;5,4;4,1;9,7;3,10;1,2;8,4;
92;5;249;214;5,1;5,9;5,7;7,6;7,8;6,4;9,3;3,2;10,1;
93;1;223;215;7,9;9,4;7,6;4,10;6,3;10,5;4,2;7,1;8,1;
94;5;232;197;8,2;2,6;6,3;8,9;6,5;9,1;3,4;8,7;10,1;
95;6;185;178;3,7;7,2;7,5;7,4;7,1;1,9;3,6;2,10;8,5;
96;2;218;210;10,6;10,5;5,2;5,3;2,1;9,7;6,8;3,4;9,1;
97;1;214;202;7,8;8,6;6,2;2,5;2,10;5,4;6,3;10,1;9,4;
98;1;213;210;9,4;4,6;4,7;7,2;6,10;7,8;2,5;7,3;1,3;
99;4;249;242;7,1;7,8;8,10;8,3;7,9;9,5;3,6;10,2;4,3;
